,Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths
228,08/12/2020,02/01/2020,08/08/2020,Delaware,Male,65-74 years,69
229,08/12/2020,02/01/2020,08/08/2020,Delaware,Male,75-84 years,70
230,08/12/2020,02/01/2020,08/08/2020,Delaware,Male,85 years and over,64
231,08/12/2020,02/01/2020,08/08/2020,Delaware,Male,All ages,250
232,08/12/2020,02/01/2020,08/08/2020,Delaware,Female,Under 1 year,0
233,08/12/2020,02/01/2020,08/08/2020,Delaware,Female,1-4 years,0
234,08/12/2020,02/01/2020,08/08/2020,Delaware,Female,5-14 years,0
235,08/12/2020,02/01/2020,08/08/2020,Delaware,Female,15-24 years,1048.084359
236,08/12/2020,02/01/2020,08/08/2020,Delaware,Female,25-34 years,1048.084359
237,08/12/2020,02/01/2020,08/08/2020,Delaware,Female,35-44 years,1048.084359
238,08/12/2020,02/01/2020,08/08/2020,Delaware,Female,45-54 years,15
239,08/12/2020,02/01/2020,08/08/2020,Delaware,Female,55-64 years,22
240,08/12/2020,02/01/2020,08/08/2020,Delaware,Female,65-74 years,42
241,08/12/2020,02/01/2020,08/08/2020,Delaware,Female,75-84 years,68
242,08/12/2020,02/01/2020,08/08/2020,Delaware,Female,85 years and over,129
243,08/12/2020,02/01/2020,08/08/2020,Delaware,Female,All ages,283
244,08/12/2020,02/01/2020,08/08/2020,Delaware,Unknown,All ages,0
245,08/12/2020,02/01/2020,08/08/2020,Delaware Total,All,All ages,533
246,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,Under 1 year,1048.084359
247,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,1-4 years,0
248,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,5-14 years,0
249,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,15-24 years,0
250,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,25-34 years,1048.084359
251,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,35-44 years,18
252,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,45-54 years,41
253,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,55-64 years,77
254,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,65-74 years,122
255,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,75-84 years,83
256,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,85 years and over,57
257,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Male,All ages,403
258,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,Under 1 year,0
259,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,1-4 years,0
260,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,5-14 years,0
261,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,15-24 years,1048.084359
262,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,25-34 years,1048.084359
263,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,35-44 years,1048.084359
264,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,45-54 years,21
265,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,55-64 years,47
266,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,65-74 years,65
267,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,75-84 years,60
268,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,85 years and over,84
269,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Female,All ages,284
270,08/12/2020,02/01/2020,08/08/2020,District of Columbia,Unknown,All ages,0
271,08/12/2020,02/01/2020,08/08/2020,District of Columbia Total,All,All ages,687
272,08/12/2020,02/01/2020,08/08/2020,Florida,Male,Under 1 year,0
273,08/12/2020,02/01/2020,08/08/2020,Florida,Male,1-4 years,0
274,08/12/2020,02/01/2020,08/08/2020,Florida,Male,5-14 years,1048.084359
275,08/12/2020,02/01/2020,08/08/2020,Florida,Male,15-24 years,1048.084359
276,08/12/2020,02/01/2020,08/08/2020,Florida,Male,25-34 years,27
277,08/12/2020,02/01/2020,08/08/2020,Florida,Male,35-44 years,103
278,08/12/2020,02/01/2020,08/08/2020,Florida,Male,45-54 years,210
279,08/12/2020,02/01/2020,08/08/2020,Florida,Male,55-64 years,476
280,08/12/2020,02/01/2020,08/08/2020,Florida,Male,65-74 years,883
281,08/12/2020,02/01/2020,08/08/2020,Florida,Male,75-84 years,1135
282,08/12/2020,02/01/2020,08/08/2020,Florida,Male,85 years and over,996
283,08/12/2020,02/01/2020,08/08/2020,Florida,Male,All ages,3839
284,08/12/2020,02/01/2020,08/08/2020,Florida,Female,Under 1 year,0
285,08/12/2020,02/01/2020,08/08/2020,Florida,Female,1-4 years,0
286,08/12/2020,02/01/2020,08/08/2020,Florida,Female,5-14 years,1048.084359
287,08/12/2020,02/01/2020,08/08/2020,Florida,Female,15-24 years,1048.084359
288,08/12/2020,02/01/2020,08/08/2020,Florida,Female,25-34 years,18
289,08/12/2020,02/01/2020,08/08/2020,Florida,Female,35-44 years,50
290,08/12/2020,02/01/2020,08/08/2020,Florida,Female,45-54 years,97
291,08/12/2020,02/01/2020,08/08/2020,Florida,Female,55-64 years,250
292,08/12/2020,02/01/2020,08/08/2020,Florida,Female,65-74 years,567
293,08/12/2020,02/01/2020,08/08/2020,Florida,Female,75-84 years,877
294,08/12/2020,02/01/2020,08/08/2020,Florida,Female,85 years and over,1286
295,08/12/2020,02/01/2020,08/08/2020,Florida,Female,All ages,3152
296,08/12/2020,02/01/2020,08/08/2020,Florida,Unknown,All ages,0
297,08/12/2020,02/01/2020,08/08/2020,Florida Total,All,All ages,6991
298,08/12/2020,02/01/2020,08/08/2020,Georgia,Male,Under 1 year,1048.084359
299,08/12/2020,02/01/2020,08/08/2020,Georgia,Male,1-4 years,0
300,08/12/2020,02/01/2020,08/08/2020,Georgia,Male,5-14 years,0
301,08/12/2020,02/01/2020,08/08/2020,Georgia,Male,15-24 years,1048.084359
302,08/12/2020,02/01/2020,08/08/2020,Georgia,Male,25-34 years,25
303,08/12/2020,02/01/2020,08/08/2020,Georgia,Male,35-44 years,35
304,08/12/2020,02/01/2020,08/08/2020,Georgia,Male,45-54 years,125
305,08/12/2020,02/01/2020,08/08/2020,Georgia,Male,55-64 years,275
306,08/12/2020,02/01/2020,08/08/2020,Georgia,Male,65-74 years,464
307,08/12/2020,02/01/2020,08/08/2020,Georgia,Male,75-84 years,487
308,08/12/2020,02/01/2020,08/08/2020,Georgia,Male,85 years and over,317
