,State,Sex,Age group,COVID-19 Deaths,Age
308,Indiana,Male,Under 1 year,0.0,0.5
309,Indiana,Male,1-4 years,,2.5
310,Indiana,Male,5-14 years,0.0,10
311,Indiana,Male,15-24 years,,20
312,Indiana,Male,25-34 years,10.0,30
313,Indiana,Male,35-44 years,15.0,40
314,Indiana,Male,45-54 years,50.0,50
315,Indiana,Male,55-64 years,179.0,60
316,Indiana,Male,65-74 years,392.0,70
317,Indiana,Male,75-84 years,418.0,80
318,Indiana,Male,85 years and over,401.0,90
319,Indiana,Female,Under 1 year,0.0,0.5
320,Indiana,Female,1-4 years,0.0,2.5
321,Indiana,Female,5-14 years,0.0,10
322,Indiana,Female,15-24 years,,20
323,Indiana,Female,25-34 years,,30
324,Indiana,Female,35-44 years,15.0,40
325,Indiana,Female,45-54 years,34.0,50
326,Indiana,Female,55-64 years,103.0,60
327,Indiana,Female,65-74 years,227.0,70
328,Indiana,Female,75-84 years,419.0,80
329,Indiana,Female,85 years and over,643.0,90
330,Iowa,Male,Under 1 year,0.0,0.5
331,Iowa,Male,1-4 years,0.0,2.5
332,Iowa,Male,5-14 years,0.0,10
333,Iowa,Male,15-24 years,0.0,20
334,Iowa,Male,25-34 years,,30
335,Iowa,Male,35-44 years,,40
336,Iowa,Male,45-54 years,27.0,50
337,Iowa,Male,55-64 years,76.0,60
338,Iowa,Male,65-74 years,117.0,70
339,Iowa,Male,75-84 years,112.0,80
340,Iowa,Male,85 years and over,140.0,90
341,Iowa,Female,Under 1 year,,0.5
342,Iowa,Female,1-4 years,0.0,2.5
343,Iowa,Female,5-14 years,0.0,10
344,Iowa,Female,15-24 years,,20
345,Iowa,Female,25-34 years,,30
346,Iowa,Female,35-44 years,,40
347,Iowa,Female,45-54 years,10.0,50
348,Iowa,Female,55-64 years,45.0,60
349,Iowa,Female,65-74 years,78.0,70
350,Iowa,Female,75-84 years,103.0,80
351,Iowa,Female,85 years and over,172.0,90
352,Kansas,Male,Under 1 year,0.0,0.5
353,Kansas,Male,1-4 years,0.0,2.5
354,Kansas,Male,5-14 years,0.0,10
355,Kansas,Male,15-24 years,,20
356,Kansas,Male,25-34 years,,30
357,Kansas,Male,35-44 years,,40
358,Kansas,Male,45-54 years,14.0,50
359,Kansas,Male,55-64 years,38.0,60
360,Kansas,Male,65-74 years,46.0,70
361,Kansas,Male,75-84 years,56.0,80
362,Kansas,Male,85 years and over,50.0,90
363,Kansas,Female,Under 1 year,0.0,0.5
364,Kansas,Female,1-4 years,0.0,2.5
365,Kansas,Female,5-14 years,0.0,10
366,Kansas,Female,15-24 years,,20
367,Kansas,Female,25-34 years,,30
368,Kansas,Female,35-44 years,,40
369,Kansas,Female,45-54 years,,50
370,Kansas,Female,55-64 years,18.0,60
371,Kansas,Female,65-74 years,26.0,70
372,Kansas,Female,75-84 years,34.0,80
373,Kansas,Female,85 years and over,84.0,90
374,Kentucky,Male,Under 1 year,0.0,0.5
375,Kentucky,Male,1-4 years,0.0,2.5
376,Kentucky,Male,5-14 years,0.0,10
377,Kentucky,Male,15-24 years,0.0,20
378,Kentucky,Male,25-34 years,,30
379,Kentucky,Male,35-44 years,11.0,40
380,Kentucky,Male,45-54 years,17.0,50
381,Kentucky,Male,55-64 years,45.0,60
382,Kentucky,Male,65-74 years,106.0,70
383,Kentucky,Male,75-84 years,80.0,80
384,Kentucky,Male,85 years and over,78.0,90
385,Kentucky,Female,Under 1 year,0.0,0.5
386,Kentucky,Female,1-4 years,0.0,2.5
387,Kentucky,Female,5-14 years,0.0,10
388,Kentucky,Female,15-24 years,0.0,20
389,Kentucky,Female,25-34 years,,30
390,Kentucky,Female,35-44 years,,40
391,Kentucky,Female,45-54 years,12.0,50
392,Kentucky,Female,55-64 years,36.0,60
393,Kentucky,Female,65-74 years,59.0,70
394,Kentucky,Female,75-84 years,102.0,80
395,Kentucky,Female,85 years and over,196.0,90
396,Louisiana,Male,Under 1 year,0.0,0.5
397,Louisiana,Male,1-4 years,,2.5
398,Louisiana,Male,5-14 years,,10
399,Louisiana,Male,15-24 years,,20
400,Louisiana,Male,25-34 years,11.0,30
401,Louisiana,Male,35-44 years,47.0,40
402,Louisiana,Male,45-54 years,124.0,50
403,Louisiana,Male,55-64 years,285.0,60
404,Louisiana,Male,65-74 years,468.0,70
405,Louisiana,Male,75-84 years,553.0,80
406,Louisiana,Male,85 years and over,381.0,90
407,Louisiana,Female,Under 1 year,,0.5
408,Louisiana,Female,1-4 years,0.0,2.5
409,Louisiana,Female,5-14 years,0.0,10
410,Louisiana,Female,15-24 years,,20
411,Louisiana,Female,25-34 years,13.0,30
412,Louisiana,Female,35-44 years,38.0,40
413,Louisiana,Female,45-54 years,76.0,50
414,Louisiana,Female,55-64 years,212.0,60
415,Louisiana,Female,65-74 years,301.0,70
416,Louisiana,Female,75-84 years,479.0,80
417,Louisiana,Female,85 years and over,544.0,90
418,Maine,Male,Under 1 year,0.0,0.5
419,Maine,Male,1-4 years,0.0,2.5
420,Maine,Male,5-14 years,0.0,10
421,Maine,Male,15-24 years,0.0,20
422,Maine,Male,25-34 years,0.0,30
423,Maine,Male,35-44 years,,40
424,Maine,Male,45-54 years,,50
425,Maine,Male,55-64 years,,60
426,Maine,Male,65-74 years,17.0,70
427,Maine,Male,75-84 years,20.0,80
428,Maine,Male,85 years and over,19.0,90
429,Maine,Female,Under 1 year,0.0,0.5
430,Maine,Female,1-4 years,0.0,2.5
431,Maine,Female,5-14 years,0.0,10
432,Maine,Female,15-24 years,0.0,20
433,Maine,Female,25-34 years,0.0,30
434,Maine,Female,35-44 years,,40
435,Maine,Female,45-54 years,,50
436,Maine,Female,55-64 years,,60
437,Maine,Female,65-74 years,,70
438,Maine,Female,75-84 years,22.0,80
439,Maine,Female,85 years and over,37.0,90
440,Maryland,Male,Under 1 year,0.0,0.5
441,Maryland,Male,1-4 years,0.0,2.5
442,Maryland,Male,5-14 years,0.0,10
443,Maryland,Male,15-24 years,,20
444,Maryland,Male,25-34 years,27.0,30
445,Maryland,Male,35-44 years,61.0,40
446,Maryland,Male,45-54 years,118.0,50
447,Maryland,Male,55-64 years,302.0,60
448,Maryland,Male,65-74 years,419.0,70
449,Maryland,Male,75-84 years,551.0,80
450,Maryland,Male,85 years and over,465.0,90
451,Maryland,Female,Under 1 year,0.0,0.5
452,Maryland,Female,1-4 years,0.0,2.5
453,Maryland,Female,5-14 years,0.0,10
454,Maryland,Female,15-24 years,,20
455,Maryland,Female,25-34 years,,30
456,Maryland,Female,35-44 years,22.0,40
457,Maryland,Female,45-54 years,72.0,50
458,Maryland,Female,55-64 years,165.0,60
459,Maryland,Female,65-74 years,332.0,70
460,Maryland,Female,75-84 years,494.0,80
461,Maryland,Female,85 years and over,779.0,90
462,Massachusetts,Male,Under 1 year,0.0,0.5
463,Massachusetts,Male,1-4 years,0.0,2.5
464,Massachusetts,Male,5-14 years,0.0,10
465,Massachusetts,Male,15-24 years,,20
466,Massachusetts,Male,25-34 years,12.0,30
467,Massachusetts,Male,35-44 years,30.0,40
468,Massachusetts,Male,45-54 years,96.0,50
469,Massachusetts,Male,55-64 years,334.0,60
470,Massachusetts,Male,65-74 years,723.0,70
471,Massachusetts,Male,75-84 years,1124.0,80
472,Massachusetts,Male,85 years and over,1358.0,90
473,Massachusetts,Female,Under 1 year,0.0,0.5
474,Massachusetts,Female,1-4 years,0.0,2.5
475,Massachusetts,Female,5-14 years,0.0,10
476,Massachusetts,Female,15-24 years,,20
477,Massachusetts,Female,25-34 years,,30
478,Massachusetts,Female,35-44 years,13.0,40
479,Massachusetts,Female,45-54 years,64.0,50
480,Massachusetts,Female,55-64 years,198.0,60
481,Massachusetts,Female,65-74 years,485.0,70
482,Massachusetts,Female,75-84 years,1034.0,80
483,Massachusetts,Female,85 years and over,2388.0,90
484,Michigan,Male,Under 1 year,0.0,0.5
485,Michigan,Male,1-4 years,0.0,2.5
486,Michigan,Male,5-14 years,0.0,10
487,Michigan,Male,15-24 years,,20
488,Michigan,Male,25-34 years,27.0,30
489,Michigan,Male,35-44 years,58.0,40
