,index,Confirmed,Deaths,clusters
662,662,359,19,1
663,663,1248,24,1
664,664,202,9,1
665,665,572,38,1
666,666,385,14,1
667,667,246,2,1
668,668,148,0,1
669,669,12790,325,1
670,670,2676,77,1
671,671,1947,25,1
672,672,627,3,1
673,673,1640,56,1
674,674,16545,486,0
675,675,251,2,1
676,676,347,1,1
677,677,348,6,1
678,678,440,1,1
679,679,1436,42,1
680,680,515,7,1
681,681,5463,131,1
682,682,518,0,1
683,683,98,0,1
684,684,129,1,1
685,685,97,2,1
686,686,459,15,1
687,687,4463,118,1
688,688,3200,20,1
689,689,120,0,1
690,690,129,5,1
691,691,639,15,1
692,692,339,13,1
693,693,628,23,1
694,694,208,3,1
695,695,651,6,1
696,696,2,0,1
697,697,3314,49,1
698,698,342,15,1
699,699,132,0,1
700,700,113,1,1
701,701,26,1,1
702,702,161,1,1
703,703,55,0,1
704,704,926,11,1
705,705,171,4,1
706,706,2869,74,1
707,707,299,3,1
708,708,2290,44,1
709,709,46,0,1
710,710,75,0,1
711,711,360,4,1
712,712,6386,187,1
713,713,53,2,1
714,714,484,6,1
715,715,1657,21,1
716,716,2238,236,1
717,717,507,24,1
718,718,648,4,1
719,719,147,1,1
720,720,314,2,1
721,721,198,1,1
722,722,256,5,1
723,723,161,0,1
724,724,702,20,1
725,725,13612,374,1
726,726,1351,39,1
727,727,5531,149,1
728,728,408,6,1
729,729,252,3,1
730,730,6060,200,1
731,731,1153,57,1
732,732,88,0,1
733,733,113,3,1
734,734,956,46,1
735,735,103,3,1
736,736,271,13,1
737,737,1933,9,1
738,738,2157,56,1
739,739,298,5,1
740,740,595,13,1
741,741,103,0,1
742,742,654,28,1
743,743,463,11,1
744,744,639,28,1
745,745,457,39,1
746,746,1895,61,1
747,747,959,18,1
748,748,6438,109,1
749,749,418,13,1
750,750,1321,61,1
751,751,120,2,1
752,752,303,25,1
753,753,235,2,1
754,754,489,4,1
755,755,897,33,1
756,756,419,35,1
757,757,4761,109,1
758,758,914,43,1
759,759,564,24,1
760,760,2681,122,1
761,761,781,25,1
762,762,1290,63,1
763,763,222,3,1
764,764,742,9,1
765,765,386,2,1
766,766,175,0,1
767,767,244,3,1
768,768,312,12,1
769,769,2279,123,1
770,770,503,9,1
771,771,1206,17,1
772,772,632,11,1
773,773,1382,39,1
774,774,10334,319,1
775,775,506,28,1
776,776,1610,75,1
777,777,20936,761,0
778,778,994,24,1
779,779,164,0,1
780,780,430,3,1
781,781,2512,36,1
782,782,505,21,1
783,783,706,38,1
784,784,172,11,1
785,785,894,32,1
786,786,77,7,1
787,787,286,24,1
788,788,0,0,1
789,789,167,1,1
790,790,96,1,1
791,791,215,13,1
792,792,141,1,1
793,793,2090,46,1
794,794,309,0,1
795,795,115,1,1
796,796,538,10,1
797,797,209,7,1
798,798,282,8,1
799,799,153,4,1
800,800,359,10,1
801,801,666,29,1
802,802,222,3,1
803,803,6226,103,1
804,804,253,7,1
805,805,374,7,1
806,806,331,12,1
807,807,69,0,1
808,808,2312,13,1
809,809,220,22,1
810,810,0,225,1
811,811,77,0,1
812,812,3494,30,1
813,813,126,0,1
814,814,1785,24,1
815,815,262,8,1
816,816,39,1,1
817,817,1223,36,1
818,818,261,1,1
819,819,747,14,1
820,820,250,3,1
821,821,482,14,1
822,822,255,6,1
823,823,68,1,1
824,824,33,0,1
825,825,252,6,1
826,826,129,3,1
827,827,74,1,1
828,828,302,1,1
829,829,4421,88,1
830,830,493,8,1
831,831,475,7,1
832,832,262,1,1
833,833,1959,12,1
834,834,265,2,1
835,835,179,2,1
836,836,650,5,1
837,837,148,2,1
838,838,233,1,1
839,839,1017,21,1
840,840,222,2,1
841,841,240,0,1
842,842,262,3,1
843,843,309,4,1
844,844,237,3,1
845,845,1092,20,1
846,846,1042,5,1
847,847,2741,38,1
848,848,122,4,1
849,849,66,0,1
850,850,365,3,1
851,851,751,7,1
852,852,503,6,1
853,853,2985,41,1
854,854,254,10,1
855,855,205,2,1
856,856,310,3,1
857,857,346,18,1
858,858,104,0,1
859,859,99,0,1
860,860,218,3,1
861,861,240,6,1
862,862,323,3,1
863,863,177,2,1
864,864,293,1,1
865,865,196,2,1
866,866,655,4,1
867,867,185,6,1
868,868,183,3,1
869,869,110,0,1
870,870,197,1,1
871,871,317,3,1
872,872,802,32,1
873,873,135,1,1
874,874,5073,27,1
875,875,258,3,1
876,876,101,1,1
877,877,249,0,1
878,878,613,7,1
879,879,3878,109,1
880,880,426,15,1
881,881,153,6,1
882,882,280,4,1
883,883,209,2,1
884,884,368,19,1
885,885,746,5,1
886,886,1768,34,1
887,887,173,1,1
888,888,186,0,1
889,889,144,1,1
890,890,153,10,1
891,891,90,5,1
892,892,1090,54,1
893,893,334,9,1
894,894,146,0,1
895,895,0,0,1
896,896,150,0,1
897,897,172,0,1
898,898,1091,20,1
899,899,156,2,1
900,900,15571,261,0
901,901,2033,38,1
902,902,270,8,1
903,903,48,2,1
904,904,232,0,1
905,905,2875,28,1
906,906,250,1,1
907,907,1469,3,1
908,908,3369,17,1
909,909,699,31,1
910,910,127,1,1
911,911,4,0,1
912,912,126,3,1
913,913,112,1,1
914,914,1296,57,1
915,915,945,6,1
916,916,449,11,1
917,917,84,2,1
918,918,1213,14,1
919,919,284,13,1
920,920,315,6,1
921,921,5173,63,1
922,922,104,0,1
923,923,570,1,1
924,924,33,0,1
925,925,69,0,1
926,926,307,2,1
927,927,6,0,1
928,928,447,5,1
929,929,148,2,1
930,930,113,3,1
931,931,518,3,1
932,932,81,1,1
933,933,13,0,1
934,934,474,7,1
935,935,58,0,1
936,936,48,1,1
937,937,47,2,1
938,938,64,0,1
939,939,108,8,1
940,940,11,0,1
941,941,346,4,1
942,942,978,6,1
943,943,21,0,1
944,944,161,1,1
945,945,105,0,1
946,946,2138,10,1
947,947,47,0,1
948,948,1,0,1
949,949,926,3,1
950,950,32,0,1
951,951,2072,12,1
952,952,2718,10,1
953,953,328,3,1
954,954,290,2,1
955,955,33,0,1
956,956,37,1,1
957,957,254,5,1
958,958,122,0,1
959,959,7,0,1
960,960,47,0,1
961,961,43,0,1
962,962,120,2,1
963,963,346,4,1
964,964,103,1,1
965,965,22,0,1
966,966,237,2,1
967,967,185,4,1
968,968,16,1,1
969,969,10411,145,1
970,970,82,1,1
971,971,78,1,1
972,972,24,0,1
973,973,233,4,1
974,974,13,0,1
975,975,1965,11,1
976,976,12,0,1
977,977,70,0,1
978,978,7,0,1
979,979,1097,33,1
980,980,72,1,1
981,981,20,0,1
982,982,277,1,1
983,983,108,1,1
984,984,357,1,1
985,985,45,0,1
986,986,386,6,1
987,987,29,0,1
988,988,15,2,1
989,989,92,1,1
990,990,166,0,1
991,991,70,6,1
992,992,30,0,1
993,993,96,0,1
994,994,5,0,1
995,995,52,0,1
996,996,0,0,1
997,997,414,1,1
998,998,111,8,1
999,999,230,0,1
1000,1000,69,0,1
1001,1001,8,0,1
1002,1002,1018,3,1
1003,1003,48,1,1
1004,1004,73,1,1
1005,1005,1734,8,1
1006,1006,61,0,1
1007,1007,42,0,1
1008,1008,83,0,1
1009,1009,697,11,1
1010,1010,107,1,1
1011,1011,8173,85,1
1012,1012,1661,5,1
1013,1013,2644,30,1
1014,1014,13,0,1
1015,1015,30,0,1
1016,1016,6,0,1
1017,1017,56,1,1
1018,1018,48,2,1
1019,1019,128,1,1
1020,1020,183,3,1
1021,1021,126,0,1
1022,1022,53,3,1
1023,1023,0,0,1
1024,1024,67,1,1
1025,1025,17,0,1
1026,1026,17,0,1
1027,1027,6,0,1
1028,1028,59,2,1
1029,1029,15,0,1
1030,1030,6757,134,1
1031,1031,307,19,1
1032,1032,315,9,1
1033,1033,150,1,1
1034,1034,54,1,1
1035,1035,711,13,1
1036,1036,87,1,1
1037,1037,482,12,1
1038,1038,1540,25,1
1039,1039,178,1,1
1040,1040,412,6,1
1041,1041,266,0,1
1042,1042,40,0,1
1043,1043,84,0,1
1044,1044,126,2,1
1045,1045,844,9,1
1046,1046,337,16,1
1047,1047,147,0,1
1048,1048,552,8,1
1049,1049,851,16,1
1050,1050,77,1,1
1051,1051,196,5,1
1052,1052,165,3,1
1053,1053,269,15,1
1054,1054,1195,19,1
1055,1055,305,8,1
1056,1056,305,6,1
1057,1057,111,2,1
1058,1058,121,1,1
1059,1059,100,0,1
1060,1060,1320,14,1
1061,1061,131,12,1
1062,1062,38,0,1
1063,1063,142,0,1
1064,1064,5729,70,1
1065,1065,82,0,1
1066,1066,176,2,1
1067,1067,606,12,1
1068,1068,142,2,1
1069,1069,98,8,1
1070,1070,152,3,1
1071,1071,158,6,1
1072,1072,727,29,1
1073,1073,382,13,1
1074,1074,259,8,1
1075,1075,378,4,1
1076,1076,79,0,1
1077,1077,1254,11,1
1078,1078,367,10,1
1079,1079,171,0,1
1080,1080,169,1,1
1081,1081,686,3,1
1082,1082,187,2,1
1083,1083,75,0,1
1084,1084,612,39,1
1085,1085,354,17,1
1086,1086,14882,300,0
1087,1087,581,0,1
1088,1088,147,1,1
1089,1089,1978,45,1
1090,1090,177,1,1
1091,1091,465,9,1
1092,1092,112,1,1
1093,1093,802,6,1
1094,1094,55,0,1
1095,1095,18,0,1
1096,1096,66,0,1
1097,1097,125,2,1
1098,1098,222,14,1
1099,1099,183,13,1
1100,1100,84,1,1
1101,1101,540,27,1
1102,1102,67,4,1
1103,1103,1681,6,1
1104,1104,80,0,1
1105,1105,218,8,1
1106,1106,285,3,1
1107,1107,75,3,1
1108,1108,122,2,1
1109,1109,698,9,1
1110,1110,144,0,1
1111,1111,74,1,1
1112,1112,202,3,1
1113,1113,44,0,1
1114,1114,203,2,1
1115,1115,110,2,1
1116,1116,204,4,1
1117,1117,267,3,1
1118,1118,53,0,1
1119,1119,755,12,1
1120,1120,488,4,1
1121,1121,31,1,1
1122,1122,444,9,1
1123,1123,1088,25,1
1124,1124,0,0,1
1125,1125,97,2,1
1126,1126,37,1,1
1127,1127,92,0,1
1128,1128,329,8,1
1129,1129,395,3,1
1130,1130,92,0,1
1131,1131,761,10,1
1132,1132,12,0,1
1133,1133,168,1,1
1134,1134,209,1,1
1135,1135,244,6,1
1136,1136,734,10,1
1137,1137,1040,24,1
1138,1138,270,8,1
1139,1139,198,0,1
1140,1140,287,7,1
1141,1141,181,8,1
1142,1142,170,0,1
1143,1143,59,0,1
1144,1144,0,0,1
1145,1145,306,2,1
1146,1146,4224,41,1
1147,1147,143,1,1
1148,1148,136,0,1
1149,1149,157,3,1
1150,1150,314,2,1
1151,1151,31,0,1
1152,1152,258,0,1
1153,1153,2933,96,1
1154,1154,1545,46,1
1155,1155,3704,97,1
1156,1156,758,24,1
1157,1157,1491,53,1
1158,1158,984,37,1
1159,1159,473,32,1
1160,1160,3181,106,1
1161,1161,8360,349,1
1162,1162,7794,210,1
1163,1163,300,3,1
1164,1164,225,2,1
1165,1165,432,10,1
1166,1166,502,21,1
1167,1167,508,13,1
1168,1168,893,35,1
1169,1169,14983,439,0
1170,1170,542,4,1
1171,1171,1723,66,1
1172,1172,1306,32,1
1173,1173,1193,38,1
1174,1174,486,30,1
1175,1175,2898,89,1
1176,1176,1407,58,1
1177,1177,632,22,1
1178,1178,17386,565,0
