,State,Confirmed
1084,Kentucky,612
1085,Kentucky,354
1086,Kentucky,14882
1087,Kentucky,581
1088,Kentucky,147
1089,Kentucky,1978
1090,Kentucky,177
1091,Kentucky,465
1092,Kentucky,112
1093,Kentucky,802
1094,Kentucky,55
1095,Kentucky,18
1096,Kentucky,66
1097,Kentucky,125
1098,Kentucky,222
1099,Kentucky,183
1100,Kentucky,84
1101,Kentucky,540
1102,Kentucky,67
1103,Kentucky,1681
1104,Kentucky,80
1105,Kentucky,218
1106,Kentucky,285
1107,Kentucky,75
1108,Kentucky,122
1109,Kentucky,698
1110,Kentucky,144
1111,Kentucky,74
1112,Kentucky,202
1113,Kentucky,44
1114,Kentucky,203
1115,Kentucky,110
1116,Kentucky,204
1117,Kentucky,267
1118,Kentucky,53
1119,Kentucky,755
1120,Kentucky,488
1121,Kentucky,31
1122,Kentucky,444
1123,Kentucky,1088
1124,Kentucky,0
1125,Kentucky,97
1126,Kentucky,37
1127,Kentucky,92
1128,Kentucky,329
1129,Kentucky,395
1130,Kentucky,92
1131,Kentucky,761
1132,Kentucky,12
1133,Kentucky,168
1134,Kentucky,209
1135,Kentucky,244
1136,Kentucky,734
1137,Kentucky,1040
1138,Kentucky,270
1139,Kentucky,198
1140,Kentucky,287
1141,Kentucky,181
1142,Kentucky,170
1143,Kentucky,59
1144,Kentucky,0
1145,Kentucky,306
1146,Kentucky,4224
1147,Kentucky,143
1148,Kentucky,136
1149,Kentucky,157
1150,Kentucky,314
1151,Kentucky,31
1152,Kentucky,258
1153,Louisiana,2933
1154,Louisiana,1545
1155,Louisiana,3704
1156,Louisiana,758
1157,Louisiana,1491
1158,Louisiana,984
1159,Louisiana,473
1160,Louisiana,3181
1161,Louisiana,8360
1162,Louisiana,7794
1163,Louisiana,300
1164,Louisiana,225
1165,Louisiana,432
1166,Louisiana,502
1167,Louisiana,508
1168,Louisiana,893
1169,Louisiana,14983
1170,Louisiana,542
1171,Louisiana,1723
1172,Louisiana,1306
1173,Louisiana,1193
1174,Louisiana,486
1175,Louisiana,2898
1176,Louisiana,1407
1177,Louisiana,632
1178,Louisiana,17386
1179,Louisiana,1225
1180,Louisiana,421
1181,Louisiana,8875
1182,Louisiana,3599
1183,Louisiana,1199
1184,Louisiana,3730
1185,Louisiana,866
1186,Louisiana,770
1187,Louisiana,1103
1188,Louisiana,12436
1189,Louisiana,6122
1190,Louisiana,0
1191,Louisiana,666
1192,Louisiana,1053
1193,Louisiana,4140
1194,Louisiana,351
1195,Louisiana,749
1196,Louisiana,840
1197,Louisiana,1383
1198,Louisiana,1777
1199,Louisiana,410
1200,Louisiana,808
1201,Louisiana,1576
1202,Louisiana,3272
1203,Louisiana,2081
1204,Louisiana,1901
1205,Louisiana,6858
1206,Louisiana,4416
1207,Louisiana,159
1208,Louisiana,3603
1209,Louisiana,193
1210,Louisiana,959
1211,Louisiana,2028
1212,Louisiana,1042
1213,Louisiana,1608
1214,Louisiana,1217
1215,Louisiana,900
1216,Louisiana,343
1217,Louisiana,711
1218,Louisiana,616
1219,Maine,693
1220,Maine,43
1221,Maine,2290
1222,Maine,60
1223,Maine,53
1224,Maine,207
1225,Maine,36
1226,Maine,41
1227,Maine,0
1228,Maine,132
1229,Maine,252
1230,Maine,9
1231,Maine,65
1232,Maine,85
1233,Maine,0
1234,Maine,73
1235,Maine,16
1236,Maine,1115
1237,Maryland,454
1238,Maryland,9759
1239,Maryland,17579
1240,Maryland,15329
1241,Maryland,920
1242,Maryland,638
1243,Maryland,1920
1244,Maryland,1025
1245,Maryland,2725
1246,Maryland,578
1247,Maryland,3958
1248,Maryland,72
1249,Maryland,2945
1250,Maryland,4983
1251,Maryland,298
1252,Maryland,22002
1253,Maryland,0
1254,Maryland,28784
1255,Maryland,645
1256,Maryland,251
1257,Maryland,1259
1258,Maryland,543
1259,Maryland,0
1260,Maryland,1691
1261,Maryland,1919
1262,Maryland,1020
1263,Massachusetts,1722
1264,Massachusetts,706
1265,Massachusetts,9858
1266,Massachusetts,0
1267,Massachusetts,151
1268,Massachusetts,19305
1269,Massachusetts,404
1270,Massachusetts,8075
1271,Massachusetts,1208
1272,Massachusetts,26943
1273,Massachusetts,0
1274,Massachusetts,10107
1275,Massachusetts,0
1276,Massachusetts,9567
1277,Massachusetts,23891
1278,Massachusetts,2416
1279,Massachusetts,14159
1280,Michigan,41
1281,Michigan,19
1282,Michigan,743
1283,Michigan,151
1284,Michigan,68
1285,Michigan,69
1286,Michigan,20
1287,Michigan,283
1288,Michigan,985
1289,Michigan,80
1290,Michigan,1832
1291,Michigan,594
1292,Michigan,1265
1293,Michigan,547
1294,Michigan,101
1295,Michigan,90
1296,Michigan,76
1297,Michigan,112
1298,Michigan,658
1299,Michigan,123
1300,Michigan,327
1301,Michigan,114
1302,Michigan,634
1303,Michigan,156
1304,Michigan,195
1305,Michigan,4393
1306,Michigan,91
1307,Michigan,156
1308,Michigan,467
1309,Michigan,262
1310,Michigan,334
1311,Michigan,388
1312,Michigan,219
1313,Michigan,3362
1314,Michigan,350
1315,Michigan,209
1316,Michigan,114
1317,Michigan,683
1318,Michigan,1037
1319,Michigan,2707
1320,Michigan,82
1321,Michigan,9594
1322,Michigan,8
1323,Michigan,32
1324,Michigan,593
1325,Michigan,111
1326,Michigan,787
1327,Michigan,1335
1328,Michigan,12
1329,Michigan,57
1330,Michigan,14229
1331,Michigan,71
1332,Michigan,341
1333,Michigan,136
1334,Michigan,195
1335,Michigan,339
1336,Michigan,5589
1337,Michigan,585
1338,Michigan,59
1339,Michigan,1486
1340,Michigan,304
1341,Michigan,14
1342,Michigan,1475
1343,Michigan,339
1344,Michigan,20235
1345,Michigan,514
1346,Michigan,65
1347,Michigan,42
1348,Michigan,93
1349,Michigan,30
1350,Michigan,172
1351,Michigan,3296
1352,Michigan,206
1353,Michigan,26
1354,Michigan,93
1355,Michigan,2894
1356,Michigan,147
1357,Michigan,24
1358,Michigan,499
1359,Michigan,980
1360,Michigan,735
1361,Michigan,497
1362,Michigan,18
1363,Michigan,744
1364,Michigan,3419
1365,Michigan,34582
1366,Michigan,120
1367,Minnesota,74
1368,Minnesota,5870
1369,Minnesota,257
1370,Minnesota,388
1371,Minnesota,522
1372,Minnesota,73
1373,Minnesota,1632
1374,Minnesota,182
1375,Minnesota,246
1376,Minnesota,1375
1377,Minnesota,142
1378,Minnesota,203
1379,Minnesota,466
1380,Minnesota,1316
1381,Minnesota,26
1382,Minnesota,6
1383,Minnesota,219
1384,Minnesota,464
1385,Minnesota,7280
1386,Minnesota,214
1387,Minnesota,278
1388,Minnesota,132
1389,Minnesota,111
1390,Minnesota,529
1391,Minnesota,344
1392,Minnesota,59
1393,Minnesota,26264
1394,Minnesota,117
1395,Minnesota,88
1396,Minnesota,271
1397,Minnesota,299
1398,Minnesota,137
1399,Minnesota,116
1400,Minnesota,955
1401,Minnesota,12
1402,Minnesota,117
1403,Minnesota,47
1404,Minnesota,57
1405,Minnesota,21
1406,Minnesota,446
1407,Minnesota,105
1408,Minnesota,661
1409,Minnesota,46
1410,Minnesota,50
1411,Minnesota,357
1412,Minnesota,470
1413,Minnesota,189
1414,Minnesota,153
1415,Minnesota,216
1416,Minnesota,1308
1417,Minnesota,156
1418,Minnesota,515
1419,Minnesota,1943
1420,Minnesota,52
1421,Minnesota,2346
1422,Minnesota,407
1423,Minnesota,0
1424,Minnesota,115
1425,Minnesota,307
1426,Minnesota,216
1427,Minnesota,294
1428,Minnesota,90
1429,Minnesota,10635
1430,Minnesota,40
1431,Minnesota,151
1432,Minnesota,136
1433,Minnesota,1311
1434,Minnesota,162
1435,Minnesota,117
1436,Minnesota,2487
1437,Minnesota,1114
