,State_x,Confirmed,Deaths
956,Kansas,37,1
957,Kansas,254,5
958,Kansas,122,0
959,Kansas,7,0
960,Kansas,47,0
961,Kansas,43,0
962,Kansas,120,2
963,Kansas,346,4
964,Kansas,103,1
965,Kansas,22,0
966,Kansas,237,2
967,Kansas,185,4
968,Kansas,16,1
969,Kansas,10411,145
970,Kansas,82,1
971,Kansas,78,1
972,Kansas,24,0
973,Kansas,233,4
974,Kansas,13,0
975,Kansas,1965,11
976,Kansas,12,0
977,Kansas,70,0
978,Kansas,7,0
979,Kansas,1097,33
980,Kansas,72,1
981,Kansas,20,0
982,Kansas,277,1
983,Kansas,108,1
984,Kansas,357,1
985,Kansas,45,0
986,Kansas,386,6
987,Kansas,29,0
988,Kansas,15,2
989,Kansas,92,1
990,Kansas,166,0
991,Kansas,70,6
992,Kansas,30,0
993,Kansas,96,0
994,Kansas,5,0
995,Kansas,52,0
996,Kansas,0,0
997,Kansas,414,1
998,Kansas,111,8
999,Kansas,230,0
1000,Kansas,69,0
1001,Kansas,8,0
1002,Kansas,1018,3
1003,Kansas,48,1
1004,Kansas,73,1
1005,Kansas,1734,8
1006,Kansas,61,0
1007,Kansas,42,0
1008,Kansas,83,0
1009,Kansas,697,11
1010,Kansas,107,1
1011,Kansas,8173,85
1012,Kansas,1661,5
1013,Kansas,2644,30
1014,Kansas,13,0
1015,Kansas,30,0
1016,Kansas,6,0
1017,Kansas,56,1
1018,Kansas,48,2
1019,Kansas,128,1
1020,Kansas,183,3
1021,Kansas,126,0
1022,Kansas,53,3
1023,Kansas,0,0
1024,Kansas,67,1
1025,Kansas,17,0
1026,Kansas,17,0
1027,Kansas,6,0
1028,Kansas,59,2
1029,Kansas,15,0
1030,Kansas,6757,134
1031,Kentucky,307,19
1032,Kentucky,315,9
1033,Kentucky,150,1
1034,Kentucky,54,1
1035,Kentucky,711,13
1036,Kentucky,87,1
1037,Kentucky,482,12
1038,Kentucky,1540,25
1039,Kentucky,178,1
1040,Kentucky,412,6
1041,Kentucky,266,0
1042,Kentucky,40,0
1043,Kentucky,84,0
1044,Kentucky,126,2
1045,Kentucky,844,9
1046,Kentucky,337,16
1047,Kentucky,147,0
1048,Kentucky,552,8
1049,Kentucky,851,16
1050,Kentucky,77,1
1051,Kentucky,196,5
1052,Kentucky,165,3
1053,Kentucky,269,15
1054,Kentucky,1195,19
1055,Kentucky,305,8
1056,Kentucky,305,6
1057,Kentucky,111,2
1058,Kentucky,121,1
1059,Kentucky,100,0
1060,Kentucky,1320,14
1061,Kentucky,131,12
1062,Kentucky,38,0
1063,Kentucky,142,0
1064,Kentucky,5729,70
1065,Kentucky,82,0
1066,Kentucky,176,2
1067,Kentucky,606,12
1068,Kentucky,142,2
1069,Kentucky,98,8
1070,Kentucky,152,3
1071,Kentucky,158,6
1072,Kentucky,727,29
1073,Kentucky,382,13
1074,Kentucky,259,8
1075,Kentucky,378,4
1076,Kentucky,79,0
1077,Kentucky,1254,11
1078,Kentucky,367,10
1079,Kentucky,171,0
1080,Kentucky,169,1
1081,Kentucky,686,3
1082,Kentucky,187,2
1083,Kentucky,75,0
1084,Kentucky,612,39
1085,Kentucky,354,17
1086,Kentucky,14882,300
1087,Kentucky,581,0
1088,Kentucky,147,1
1089,Kentucky,1978,45
1090,Kentucky,177,1
1091,Kentucky,465,9
1092,Kentucky,112,1
1093,Kentucky,802,6
1094,Kentucky,55,0
1095,Kentucky,18,0
1096,Kentucky,66,0
1097,Kentucky,125,2
1098,Kentucky,222,14
1099,Kentucky,183,13
1100,Kentucky,84,1
1101,Kentucky,540,27
1102,Kentucky,67,4
1103,Kentucky,1681,6
1104,Kentucky,80,0
1105,Kentucky,218,8
1106,Kentucky,285,3
1107,Kentucky,75,3
1108,Kentucky,122,2
1109,Kentucky,698,9
1110,Kentucky,144,0
1111,Kentucky,74,1
1112,Kentucky,202,3
1113,Kentucky,44,0
1114,Kentucky,203,2
1115,Kentucky,110,2
1116,Kentucky,204,4
1117,Kentucky,267,3
1118,Kentucky,53,0
1119,Kentucky,755,12
1120,Kentucky,488,4
1121,Kentucky,31,1
1122,Kentucky,444,9
1123,Kentucky,1088,25
1124,Kentucky,0,0
1125,Kentucky,97,2
1126,Kentucky,37,1
1127,Kentucky,92,0
1128,Kentucky,329,8
1129,Kentucky,395,3
1130,Kentucky,92,0
1131,Kentucky,761,10
1132,Kentucky,12,0
1133,Kentucky,168,1
1134,Kentucky,209,1
1135,Kentucky,244,6
1136,Kentucky,734,10
1137,Kentucky,1040,24
1138,Kentucky,270,8
1139,Kentucky,198,0
1140,Kentucky,287,7
1141,Kentucky,181,8
1142,Kentucky,170,0
1143,Kentucky,59,0
1144,Kentucky,0,0
1145,Kentucky,306,2
1146,Kentucky,4224,41
1147,Kentucky,143,1
1148,Kentucky,136,0
1149,Kentucky,157,3
1150,Kentucky,314,2
1151,Kentucky,31,0
1152,Kentucky,258,0
1153,Louisiana,2933,96
1154,Louisiana,1545,46
1155,Louisiana,3704,97
1156,Louisiana,758,24
1157,Louisiana,1491,53
1158,Louisiana,984,37
1159,Louisiana,473,32
1160,Louisiana,3181,106
1161,Louisiana,8360,349
1162,Louisiana,7794,210
1163,Louisiana,300,3
1164,Louisiana,225,2
1165,Louisiana,432,10
1166,Louisiana,502,21
1167,Louisiana,508,13
1168,Louisiana,893,35
1169,Louisiana,14983,439
1170,Louisiana,542,4
1171,Louisiana,1723,66
1172,Louisiana,1306,32
1173,Louisiana,1193,38
1174,Louisiana,486,30
1175,Louisiana,2898,89
1176,Louisiana,1407,58
1177,Louisiana,632,22
1178,Louisiana,17386,565
1179,Louisiana,1225,39
1180,Louisiana,421,7
1181,Louisiana,8875,126
1182,Louisiana,3599,119
1183,Louisiana,1199,47
1184,Louisiana,3730,74
1185,Louisiana,866,8
1186,Louisiana,770,22
1187,Louisiana,1103,25
1188,Louisiana,12436,587
1189,Louisiana,6122,141
1190,Louisiana,0,0
1191,Louisiana,666,19
1192,Louisiana,1053,40
1193,Louisiana,4140,148
1194,Louisiana,351,21
1195,Louisiana,749,10
1196,Louisiana,840,13
1197,Louisiana,1383,29
1198,Louisiana,1777,59
1199,Louisiana,410,4
1200,Louisiana,808,40
1201,Louisiana,1576,98
1202,Louisiana,3272,124
1203,Louisiana,2081,60
1204,Louisiana,1901,77
1205,Louisiana,6858,251
1206,Louisiana,4416,117
1207,Louisiana,159,2
1208,Louisiana,3603,112
