Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths
08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,45-54 years,
08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,55-64 years,
08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,65-74 years,
08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,75-84 years,
08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,85 years and over,
08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,All ages,13
08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,35-44 years,0
08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,45-54 years,
08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,55-64 years,0
08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,65-74 years,0
08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,75-84 years,
08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,85 years and over,
08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,All ages,10
08/12/2020,02/01/2020,08/08/2020,Hawaii,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Hawaii Total,All,All ages,23
08/12/2020,02/01/2020,08/08/2020,Idaho,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Idaho,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Idaho,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Idaho,Male,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Idaho,Male,25-34 years,0
08/12/2020,02/01/2020,08/08/2020,Idaho,Male,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Idaho,Male,45-54 years,
08/12/2020,02/01/2020,08/08/2020,Idaho,Male,55-64 years,
08/12/2020,02/01/2020,08/08/2020,Idaho,Male,65-74 years,17
08/12/2020,02/01/2020,08/08/2020,Idaho,Male,75-84 years,43
08/12/2020,02/01/2020,08/08/2020,Idaho,Male,85 years and over,36
08/12/2020,02/01/2020,08/08/2020,Idaho,Male,All ages,110
08/12/2020,02/01/2020,08/08/2020,Idaho,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Idaho,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Idaho,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Idaho,Female,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Idaho,Female,25-34 years,0
08/12/2020,02/01/2020,08/08/2020,Idaho,Female,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Idaho,Female,45-54 years,
08/12/2020,02/01/2020,08/08/2020,Idaho,Female,55-64 years,
08/12/2020,02/01/2020,08/08/2020,Idaho,Female,65-74 years,17
08/12/2020,02/01/2020,08/08/2020,Idaho,Female,75-84 years,26
08/12/2020,02/01/2020,08/08/2020,Idaho,Female,85 years and over,48
08/12/2020,02/01/2020,08/08/2020,Idaho,Female,All ages,100
08/12/2020,02/01/2020,08/08/2020,Idaho,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Idaho Total,All,All ages,210
08/12/2020,02/01/2020,08/08/2020,Illinois,Male,Under 1 year,
08/12/2020,02/01/2020,08/08/2020,Illinois,Male,1-4 years,0
